method,acc1,acc5
mddtw,75.8 (0.6),88.8 (0.8)
lcss,90.0 (1.2),95.7 (1.2)
edr,87.2 (0.8),93.4 (0.6)
msm,92.1 (0.8),96.2 (0.6)
Bituler_bidirecctionalRNN2,63.0 (1.5),74.1 (0.7)
Movelets_approachRF300,52.2 (1.5),77.3 (0.6)
MasterMovelets_approach2,95.2 (0.4),98.2 (0.3)
MasterMovelets_approachRF300,93.3 (0.6),97.9 (0.3)
