method,acc1,acc5
mddtw,21.8 (1.7),40.8 (1.8)
lcss,51.2 (1.6),73.6 (2.0)
edr,50.0 (2.5),71.3 (2.6)
msm,65.0 (2.0),83.3 (1.1)
Bituler_bidirecctionalRNN2,48.0 (1.0),72.7 (2.0)
Movelets_approachRF300,28.5 (1.7),50.1 (2.3)
MasterMovelets_approachRF300,85.9 (1.2),95.7 (1.0)
