class,classifier,f1_score,precision,recall,support
C80,Approach2_Step4,0.0,0.0,0.0,2.0
C806,Approach2_Step4,0.0,0.0,0.0,4.0
C81,Approach2_Step4,0.0,0.0,0.0,4.0
C816,Approach2_Step4,0.0,0.0,0.0,4.0
C819,Approach2_Step4,0.0,0.0,0.0,3.0
C82,Approach2_Step4,0.0,0.0,0.0,4.0
C820,Approach2_Step4,0.0,0.0,0.0,3.0
C827,Approach2_Step4,0.0,0.0,0.0,2.0
C834,Approach2_Step4,0.0,0.0,0.0,3.0
C84,Approach2_Step4,0.0,0.0,0.0,4.0
C842,Approach2_Step4,0.0,0.0,0.0,3.0
C857,Approach2_Step4,0.0,0.0,0.0,2.0
C868,Approach2_Step4,0.0,0.0,0.0,2.0
C872,Approach2_Step4,0.0,0.0,0.0,3.0
C877,Approach2_Step4,0.0,0.0,0.0,2.0
C881,Approach2_Step4,0.0,0.0,0.0,5.0
C882,Approach2_Step4,0.0,0.0,0.0,2.0
C885,Approach2_Step4,0.0,0.0,0.0,6.0
C889,Approach2_Step4,0.0,0.0,0.0,2.0
C891,Approach2_Step4,0.0,0.0,0.0,3.0
C895,Approach2_Step4,0.0,0.0,0.0,3.0
C90,Approach2_Step4,0.0,0.0,0.0,4.0
C900,Approach2_Step4,0.0,0.0,0.0,2.0
C901,Approach2_Step4,0.0,0.0,0.0,3.0
C902,Approach2_Step4,0.0,0.0,0.0,3.0
C91,Approach2_Step4,0.0,0.0,0.0,2.0
C913,Approach2_Step4,0.0,0.0,0.0,2.0
C916,Approach2_Step4,0.0,0.0,0.0,2.0
C922,Approach2_Step4,0.0,0.0,0.0,3.0
C928,Approach2_Step4,0.0,0.0,0.0,5.0
C934,Approach2_Step4,0.0,0.0,0.0,4.0
C94,Approach2_Step4,0.0,0.0,0.0,2.0
C943,Approach2_Step4,0.0,0.0,0.0,6.0
C95,Approach2_Step4,0.0,0.0,0.0,4.0
C951,Approach2_Step4,0.0,0.0,0.0,3.0
C974,Approach2_Step4,0.0,0.0,0.0,4.0
C976,Approach2_Step4,0.0,0.0,0.0,3.0
C980,Approach2_Step4,0.0,0.0,0.0,2.0
C988,Approach2_Step4,0.0,0.0,0.0,2.0
C99,Approach2_Step4,0.0,0.0,0.0,4.0
C990,Approach2_Step4,0.0,0.0,0.0,3.0
C992,Approach2_Step4,0.0,0.0,0.0,2.0
