,val_loss,val_acc,val_top_k_categorical_accuracy,val_f1,loss,acc,top_k_categorical_accuracy,f1
0,0.499417330751467,0.9177135738296125,0.9535175912344276,0.9285995825451223,0.0837355019817399,0.9718309932068984,0.9882892973061924,0.9792159222069939
1,0.5009231742602497,0.915829147825289,0.9541457313389036,0.9272152422061518,0.08154501285257172,0.9730970132179249,0.9895553189207621,0.9809010166272198
2,0.512083866338634,0.9145728583311915,0.9560301516523313,0.9270225745349673,0.08193494496366838,0.9719892521696125,0.9903465828897078,0.979554383065018
3,0.5082063090861143,0.9114321652968326,0.9560301516523313,0.9250325925985173,0.08237945081256089,0.9721475025958173,0.9895553190622512,0.9805818877372585
4,0.5213513652882983,0.9120603054013084,0.9541457313389036,0.9244498987892764,0.08299637747175954,0.9715144916470433,0.9903465828897078,0.9792181893812929
5,0.5187778803870906,0.910175879396985,0.9566582917568073,0.9209018199887108,0.0815766983584317,0.9719892481135914,0.9898718245366382,0.9799628153143851
6,0.5190727027816389,0.9126884455057844,0.9560301516523313,0.923553364061231,0.0798895786973113,0.9721475007092958,0.9906630883640948,0.9798775015422146
7,0.5192345132180793,0.9126884455057844,0.9566582917568073,0.9253657684853328,0.08126006380824806,0.9726222554308117,0.989397066608036,0.9799217887742739
8,0.5212115835604356,0.9139447275118612,0.9566582917568073,0.9264799934535769,0.08013225995531224,0.9732552737841823,0.9900300774153208,0.9809070695878433
9,0.5197619690966966,0.9120603054013084,0.9560301516523313,0.9266259873931731,0.08143775556003638,0.9729387648197306,0.9898718248196164,0.9804245112515416
10,0.5209202478878462,0.9101758868850056,0.9560301516523313,0.9233768821960717,0.08295564104563112,0.9723057553330108,0.9903465828897078,0.9796455994514861
11,0.5134097083130075,0.9145728658192122,0.9547738714433794,0.928772194002142,0.0821799481498948,0.972305755615989,0.9893970664665468,0.9803529873002196
12,0.511351123227546,0.9139447182267155,0.9566582917568073,0.9253653003342787,0.07985009625082455,0.973571777513537,0.9895553193452294,0.981093886787519
13,0.5182015599317886,0.915829146028164,0.9566582917568073,0.9278802793828687,0.07928966830700782,0.9732552666625639,0.9905048357683904,0.9806810583678166
14,0.5091978760819938,0.9126884455057844,0.9560301516523313,0.9245018455850419,0.07925396529221614,0.9727805099130374,0.9897135719409338,0.9803604481151953
15,0.5095304939615067,0.9133165856102603,0.9566582917568073,0.9262164037431305,0.07953302687336739,0.9730970151044462,0.9901883302940034,0.9808357825553159
16,0.5209002714959821,0.91017587759986,0.9560301516523313,0.9236195881163055,0.08190898485699868,0.9711979770230273,0.9900300774153208,0.978792183486735
17,0.5125995062703463,0.9126884455057844,0.9560301516523313,0.9263759524977986,0.0800399952728026,0.9730970175569241,0.9895553192037403,0.9809154076258543
18,0.5137741011590814,0.9108040177043358,0.9554020115478554,0.9232122862159308,0.07904391273240685,0.9729387677438388,0.9900300774153208,0.9803403391927118
19,0.5125589923343467,0.9114321652968326,0.9541457313389036,0.9207554801025583,0.07911023038095605,0.9727805136860803,0.9898718245366382,0.9804463339844239
