,val_loss,val_acc,val_top_k_categorical_accuracy,val_f1,loss,acc,top_k_categorical_accuracy,f1
0,0.8351000435650349,0.8203125111758709,0.9375,0.8373156934976578,0.0026337798666840936,0.9995899962909693,1.0,0.9995899914033396
1,0.8304470479488373,0.8187500089406967,0.9390624985098839,0.8324885554611683,0.0023006052160221765,0.9995899962909693,1.0,0.9995899914033396
2,0.8355555683374405,0.815625011920929,0.9390624985098839,0.8340489156544209,0.0029626419854139013,0.9987699888729081,1.0,0.9987699742100189
3,0.8325038813054562,0.8203125111758709,0.9343750029802322,0.835646852850914,0.00202525361923777,1.0,1.0,1.0
4,0.8383370526134968,0.8171875104308128,0.9343750029802322,0.8301904760301113,0.00276865966908455,0.9995899962909693,1.0,0.9995899914033396
5,0.8422105312347412,0.8125000149011612,0.9375,0.826898492872715,0.0019666441117853228,1.0,1.0,1.0
6,0.8405453190207481,0.8078125193715096,0.9343750029802322,0.8281273208558559,0.003294221261671243,0.9995899962909693,1.0,0.9995899914033396
7,0.8477274924516678,0.8078125007450581,0.9359375014901161,0.829777792096138,0.002651403470331148,0.9991799925819388,1.0,0.999384471460071
8,0.8529303893446922,0.8062500022351742,0.9359375014901161,0.8297628536820412,0.0016469814343620039,1.0,1.0,1.0
9,0.8532428778707981,0.8125000149011612,0.9359375014901161,0.8258274011313915,0.0017726800609540383,0.9995899962909693,1.0,0.9995899914033396
10,0.8445746935904026,0.815625011920929,0.9328125044703484,0.8271273002028465,0.0035859103935651174,0.9983599851638775,1.0,0.9985644591543801
11,0.8381489589810371,0.8171875104308128,0.9359375014901161,0.8333435878157616,0.002726666963525199,0.9991799925819388,1.0,0.9989724002836571
12,0.8414393030107021,0.8218750059604645,0.9359375014901161,0.8372430391609669,0.0018415581689847388,0.9995899959243971,1.0,0.9995899949713093
13,0.8460187911987305,0.8234375081956387,0.9359375014901161,0.8370850570499897,0.0022629476977058466,0.9995899962909693,1.0,0.9997944800567314
14,0.8527705408632755,0.8250000104308128,0.9375,0.8385291509330273,0.0026562090447167655,0.9991799925819388,1.0,0.9991799828066793
15,0.8508472070097923,0.8265625089406967,0.9375,0.8383571580052376,0.0010700536254707872,1.0,1.0,1.0
16,0.8411249257624149,0.8281250037252903,0.9328125044703484,0.8400861583650112,0.0028948848351130554,0.9995899962909693,1.0,0.9995899914033396
17,0.8348647356033325,0.8218750096857548,0.9343750029802322,0.8381215482950211,0.0037482260685725664,0.9987699888729081,1.0,0.9985644542667503
18,0.829935148358345,0.8093750029802322,0.9312500059604645,0.8325864411890507,0.0023947580451023198,0.9995899962909693,1.0,0.999384471460071
19,0.8331963084638119,0.8093750029802322,0.9390624985098839,0.8360388986766338,0.004154992400385613,0.9991799925819388,1.0,0.9991799828066793
