Starting running similarity analysis 
Configurations:
	Base directory:	      /home/wzalewski/ferrero/thesis/cv//datasets/foursquare/run4//
	Results directory:	  /home/wzalewski/ferrero/thesis/cv//results/foursquare/run4//
	Allowed Threads:        16
	Similarity Measure:     lcss


Starting...
1277
1194

   3% # /"[30.0, 0.0, 0.0, 0.0, 0.5, 0.0]", 0.43299832495812396, 0.669179229480737

   7% ### -"[30.0, 0.0, 0.0, 0.0, 1.0, 0.0]", 0.4271356783919598, 0.6633165829145728

  11% ##### \"[30.0, 0.0, 0.0, 0.0, 1.5, 0.0]", 0.42546063651591287, 0.6591289782244556

  14% ####### |"[30.0, 0.0, 0.0, 1.0, 0.5, 0.0]", 0.43132328308207707, 0.6700167504187605

  18% ######### /"[30.0, 0.0, 0.0, 1.0, 1.0, 0.0]", 0.423785594639866, 0.661641541038526

  22% ########### -"[30.0, 0.0, 0.0, 1.0, 1.5, 0.0]", 0.423785594639866, 0.6557788944723618

  25% ############ \"[30.0, 0.0, 0.0, 2.0, 0.5, 0.0]", 0.43132328308207707, 0.6700167504187605

  29% ############## |"[30.0, 0.0, 0.0, 2.0, 1.0, 0.0]", 0.423785594639866, 0.6608040201005025

  33% ################ /"[30.0, 0.0, 0.0, 2.0, 1.5, 0.0]", 0.423785594639866, 0.6557788944723618

  37% ################## -"[60.0, 0.0, 0.0, 0.0, 0.5, 0.0]", 0.4539363484087102, 0.669179229480737

  40% #################### \"[60.0, 0.0, 0.0, 0.0, 1.0, 0.0]", 0.4463986599664992, 0.6700167504187605

  44% ###################### |"[60.0, 0.0, 0.0, 0.0, 1.5, 0.0]", 0.44472361809045224, 0.669179229480737

  48% ######################## /"[60.0, 0.0, 0.0, 1.0, 0.5, 0.0]", 0.45142378559463986, 0.6700167504187605

  51% ######################### -"[60.0, 0.0, 0.0, 1.0, 1.0, 0.0]", 0.44304857621440535, 0.669179229480737

  55% ########################### \"[60.0, 0.0, 0.0, 1.0, 1.5, 0.0]", 0.44137353433835846, 0.669179229480737

  59% ############################# |"[60.0, 0.0, 0.0, 2.0, 0.5, 0.0]", 0.45142378559463986, 0.669179229480737

  62% ############################### /"[60.0, 0.0, 0.0, 2.0, 1.0, 0.0]", 0.44137353433835846, 0.669179229480737

  66% ################################# -"[60.0, 0.0, 0.0, 2.0, 1.5, 0.0]", 0.4396984924623116, 0.6683417085427136

  70% ################################### \"[90.0, 0.0, 0.0, 0.0, 0.5, 0.0]", 0.47068676716917923, 0.6809045226130653

  74% ##################################### |"[90.0, 0.0, 0.0, 0.0, 1.0, 0.0]", 0.4581239530988275, 0.6842546063651591

  77% ###################################### /"[90.0, 0.0, 0.0, 0.0, 1.5, 0.0]", 0.45226130653266333, 0.6809045226130653

  81% ######################################## -"[90.0, 0.0, 0.0, 1.0, 0.5, 0.0]", 0.46817420435510887, 0.6817420435510888

  85% ########################################## \"[90.0, 0.0, 0.0, 1.0, 1.0, 0.0]", 0.45309882747068675, 0.6792294807370184

  88% ############################################ |"[90.0, 0.0, 0.0, 1.0, 1.5, 0.0]", 0.4480737018425461, 0.6758793969849246

  92% ############################################## /"[90.0, 0.0, 0.0, 2.0, 0.5, 0.0]", 0.46733668341708545, 0.6817420435510888

  96% ################################################ -"[90.0, 0.0, 0.0, 2.0, 1.0, 0.0]", 0.45142378559463986, 0.6775544388609716

 100% ################################################## \
"[90.0, 0.0, 0.0, 2.0, 1.5, 0.0]", 0.4463986599664992, 0.6742043551088778

 103% ################################################### |1194
1277

   3% # /"[30.0, 0.0, 0.0, 0.0, 0.5, 0.0]", 0.4142521534847298, 0.6303837118245889

